,NKY Index,SHSZ300 Index,SX5E Index,INDU Index,KS
2020-09-10,1.0576152,0.70010597,0.93827677,1.1270001,1.2963579
2020-09-11,1.0559525,0.68899506,0.9348184,1.0857966,1.2789106
2020-09-14,1.0660477,0.66823035,0.9313755,1.055283,1.2722408
2020-09-15,1.0433143,0.6583996,0.9377612,1.0339608,1.2728395
2020-09-16,1.0210878,0.642965,0.9438878,1.0110608,1.268206
2020-09-17,0.99102,0.62476003,0.94113815,0.9814672,1.2497302
2020-09-18,0.96432364,0.6235935,0.93928784,0.9716515,1.236929
2020-09-23,0.96142316,0.61871433,0.9303776,0.8582324,1.1975443
2020-09-24,0.9273069,0.61389697,0.9211177,0.84860784,1.1295661
2020-09-25,0.9116321,0.6193794,0.9090636,0.8373036,1.0805094
2020-09-28,0.9073871,0.62908137,0.9024363,0.83875483,1.0310078
2020-09-29,0.8970961,0.64093363,0.893894,0.8308554,0.9920255
2020-10-12,0.9020972,0.67555267,0.89613515,0.8474627,0.9745076
2020-10-13,0.91641766,0.6948099,0.8961994,0.8523746,0.9566524
2020-10-14,0.9225679,0.70290834,0.8972922,0.8542233,0.94372296
2020-10-15,0.92824566,0.7183006,0.8907254,0.85757565,0.9280231
2020-10-16,0.9096865,0.73508763,0.8923205,0.86860245,0.9139797
2020-10-19,0.92240703,0.75887966,0.89589345,0.94567806,0.9168601
2020-10-20,0.9395706,0.77858716,0.8954442,0.96617347,0.9260801
2020-10-21,0.97201055,0.8008551,0.89230156,0.9746622,0.93108374
2020-10-22,0.96234185,0.82323915,0.88502717,0.9828828,0.9218054
2020-10-23,0.95471597,0.8285897,0.8823377,0.9940557,0.91791457
2020-10-26,0.92458236,0.8166225,0.870214,0.9544558,0.88963103
2020-10-27,0.9032778,0.8098967,0.8601147,0.9316812,0.86974776
2020-10-28,0.8710237,0.806822,0.84374964,0.89471495,0.85793877
2020-10-29,0.8521614,0.80519134,0.82960874,0.87255746,0.8426275
2020-10-30,0.8220479,0.80251515,0.8190553,0.84788364,0.81353664
2020-11-02,0.79610765,0.8148296,0.8153963,0.84545654,0.8043996
2020-11-04,0.81127656,0.8375628,0.81812006,0.8540696,0.8083265
2020-11-05,0.83197266,0.8704913,0.8201986,0.8677179,0.82770896
2020-11-06,0.873692,0.88913095,0.82320744,0.87032825,0.844365
2020-11-09,0.9479638,0.92915714,0.8406312,0.8938413,0.870108
2020-11-10,1.0296627,0.9542321,0.86016953,0.9244353,0.8909311
2020-11-11,1.1434495,0.96492696,0.88263595,0.9532208,0.923125
2020-11-12,1.2756281,0.98396456,0.9071015,0.99376124,0.94220865
2020-11-13,1.3942618,0.9901396,0.9349754,1.0372014,0.98079854
2020-11-16,1.608647,1.0063224,0.96855736,1.0946966,1.0498987
2020-11-17,1.787813,1.0228012,0.99860513,1.1438514,1.1016
2020-11-18,1.8783268,1.0258877,1.019467,1.1406384,1.1413925
2020-11-19,1.9290826,1.0247164,1.0346044,1.136401,1.1658514
2020-11-20,1.9703708,1.0256448,1.0519772,1.131982,1.197793
2020-11-24,2.0277796,1.0235603,1.0547609,1.1282201,1.244778
2020-11-25,2.0842116,0.9999218,1.0601032,1.1195776,1.2718884
2020-11-27,2.1278152,1.0092235,1.0695782,1.1193326,1.3081573
2020-11-30,2.1320715,1.015146,1.0853602,1.126559,1.3244544
2020-12-01,2.2025135,1.0485383,1.1092366,1.127892,1.3632343
2020-12-02,2.2292607,1.0740284,1.1288637,1.1226012,1.4118607
2020-12-03,2.2609842,1.1017388,1.1490196,1.1259141,1.4713216
2020-12-04,2.3185968,1.1213318,1.168611,1.1410758,1.5397755
2020-12-07,2.3379512,1.1117839,1.1890506,1.1429054,1.6038828
2020-12-08,2.3507102,1.1019611,1.2083728,1.1571614,1.6298848
2020-12-09,2.3250272,1.0702313,1.2135243,1.139239,1.6619054
2020-12-10,2.2887998,1.061989,1.2134738,1.1277956,1.6970266
2020-12-11,2.1969898,1.0348356,1.2013383,1.1160228,1.7283293
2020-12-14,2.1470034,1.0249822,1.2018408,1.1054829,1.7752727
2020-12-15,2.0638227,1.0044695,1.20216,1.0967683,1.79365
2020-12-16,1.9679474,0.99690384,1.2055897,1.0806075,1.8049291
2020-12-17,1.8806018,0.99415493,1.2099842,1.0704025,1.803684
2020-12-18,1.8178041,0.97215986,1.2030786,1.0560006,1.7834116
2020-12-21,1.7875425,0.9583214,1.1842335,1.0505965,1.7623714
2020-12-22,1.7401088,0.9362495,1.1785264,1.0390964,1.7412943
2020-12-23,1.6602198,0.9217264,1.1659968,1.0300461,1.7074792
2020-12-24,1.6041386,0.9208121,1.1572359,1.0280416,1.7133476
2020-12-28,1.5642006,0.93653226,1.1530561,1.0297494,1.6972969
2020-12-29,1.5995255,0.93399024,1.152202,1.034713,1.7035024
2020-12-30,1.592966,0.9439182,1.1462169,1.0324076,1.7281486
2021-01-04,1.5658692,0.9761715,1.1390948,1.0284969,1.7626327
2021-01-05,1.5331126,1.0068693,1.1318861,1.0372325,1.8120215
2021-01-06,1.4944067,1.0434442,1.1317691,1.0460906,1.8344007
2021-01-07,1.5062133,1.0908874,1.137059,1.0569544,1.8905014
2021-01-08,1.5829793,1.1426986,1.1396816,1.0704414,2.0277476
2021-01-12,1.640989,1.2158235,1.1351792,1.0842066,2.091365
2021-01-13,1.7187998,1.2909583,1.1294419,1.0954218,2.1557784
2021-01-14,1.8188999,1.3110641,1.1266503,1.098542,2.2104905
2021-01-15,1.8169712,1.351986,1.1157153,1.0985979,2.2185535
2021-01-19,1.8719175,1.3670602,1.1051636,1.0992957,2.211696
